season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
fall_baseflow,riverbend,pH,7.67570998668671,8.71911294937134,-0.00355804971950286,0.00387449264526367,0.22368979435455774
monsoon,riverbend,pH,7.47172527313232,9.05627883839752,-0.00556097793579101,0.00514237785339356,0.3574054038302924
snowmelt,riverbend,pH,7.31203108787537,8.35903743743897,-0.00539504114786782,0.0055919427871704,0.2028851128532839
winter_baseflow,riverbend,pH,7.60710649013519,9.01001947402954,-0.00584461847941081,0.00638311449686687,0.35520990302544425
fall_baseflow,salyer,pH,7.63617422580719,9.38843660354614,-0.00818821589152018,0.00772272745768229,0.4391773266269247
monsoon,salyer,pH,7.47136047363281,9.10213073730469,-0.00766459782918288,0.00607175445556639,0.3742338814742435
snowmelt,salyer,pH,7.40980260848999,8.30132339477539,-0.0067196159362793,0.00591988245646159,0.1610324399766557
winter_baseflow,salyer,pH,7.71715763092041,9.42734302520752,-0.00762932205200195,0.00737405907470708,0.4510833087087456
fall_baseflow,udall,pH,7.7486050272168,9.16198341369629,-0.00498185857137044,0.00473772430419922,0.2972638004344118
monsoon,udall,pH,7.53990243911743,9.0458016204834,-0.00680220286051432,0.00588264719645182,0.33455465877856905
snowmelt,udall,pH,7.47605056762695,8.34251083374023,-0.00431858762105306,0.00413668123881023,0.17773855905708902
winter_baseflow,udall,pH,7.68545883178711,9.1256969833374,-0.00625756581624349,0.00457527923583983,0.39359447987996454
fall_baseflow,riverbend,Specific Conductivity,159.827364196777,1044.98692382812,-1.32759305826823,0.918058288574217,265.4685705215168
monsoon,riverbend,Specific Conductivity,120.651916046143,1179.83085205078,-2.24710491943359,0.871841023763019,265.75419837047974
snowmelt,riverbend,Specific Conductivity,62.1635368347168,772.967142944336,-2.99587188720703,1.04252416992187,115.35518975296908
winter_baseflow,riverbend,Specific Conductivity,137.568693847656,937.091690673828,-1.48986623128255,0.841985371907553,213.36876468347594
